Investor ID,Degree_Global,Betweenness_Global,Closeness_Global,Eigenvector_Global,Degree_HomeCountry,Betweenness_HomeCountry,Closeness_HomeCountry,Eigenvector_HomeCountry
14,0.020779452421296706,0.014316948455698647,0.3901333981374159,0.005270576672519532,0.2857142857142857,0.15868561710398446,0.32,0.6200872514898378
75,0.003121376973156158,0.0006925940165629221,0.32615056871744186,0.0012802206299391968,0.04030226700251889,0.003332961437720093,0.2917721232597777,0.031851929180752754
135,0.00231873718005886,0.00016267371783805262,0.3165891513934778,0.0001794716601605192,0.010238907849829351,0.00031032189638011896,0.25601176727456587,0.004417931586283048
66,0.0016944617854276285,0.00015392743523633955,0.2841292559412604,5.216637186518486e-05,0.0,0.0,0.0,2.5237378457679392e-14
121,0.00695621154017658,0.0008960002165771158,0.3289706034818839,0.0009635453511708807,0.09333333333333334,0.020522392522392525,0.33522522522522524,0.1347761064402794
232,0.002497101578524926,0.00045113094117117,0.3005767843503541,0.00043042889887260044,0.04,0.0025499785499785497,0.2726007326007326,0.036037794700622884
129,0.0039240167662534554,2.843572237649047e-05,0.30416841567491953,0.0006616191726338084,0.0,0.0,0.0,2.3224281687183937e-25
1,0.06974047980023187,0.09865906149979807,0.4324750472293898,0.009001286978792206,0.12076271186440678,0.1972259569897686,0.3182610871775521,0.6691327553119719
85,0.0021403727815927937,0.0001783213859313519,0.30772286914076924,0.00014546459668513093,0.006825938566552901,1.6278119788198982e-05,0.27851829626573654,0.011385799727314324
110,0.013823240881120127,0.006835565017439736,0.35856107732359876,0.0016395746268310371,0.16,0.09524469924469926,0.37872773536895676,0.25204865206820365
180,0.003121376973156158,0.0007703606728295814,0.305341167606036,9.821759736260571e-05,0.08,0.04790504790504791,0.3398173515981735,0.11596830791282217
160,0.012217961294925531,0.0011827580093571395,0.33617003561166386,0.0013886174677911816,0.09333333333333334,0.04978292578292578,0.3375056689342404,0.11669138182827156
247,0.0002675465976990992,3.7940113935431727e-06,0.2588922811545366,1.3960421995517242e-05,0.0,0.0,0.0,2.3224281687183937e-25
221,0.0037456523677873894,0.0018725418410671876,0.29337620444974877,0.0008093729638566888,0.04,0.005612963612963612,0.2557388316151203,0.02927782055749254
164,0.0009810041915633639,0.00015053409337514352,0.26880586434409637,1.3516059677140229e-05,0.05333333333333334,0.02324612924612925,0.2741068139963168,0.07619899935172442
107,0.0010701863907963969,0.0001061506957676462,0.2874987399509975,3.1260211925156964e-05,0.00211864406779661,0.0,0.17709159599659383,0.0007117812641910825
167,0.0020511905823597607,0.00034519756997622897,0.31115295816524285,0.0007568360145659099,0.0,0.0,0.0,2.3224281687183937e-25
187,0.007491304735574779,0.0005699899298979072,0.32508941656453144,0.00043312802912057934,0.010238907849829351,0.0005730202718783472,0.2875775146768006,0.009915443812460574
50,0.009899224114866672,0.0018633686016783309,0.34831614134872435,0.0007194155542410133,0.022670025188916875,0.005657408046088783,0.2680194971638222,0.010940524918956302
23,0.012217961294925531,0.0019363778277540463,0.3420094575354365,0.0012678576203335075,0.022245762711864406,0.013834284306222385,0.24070541532558545,0.009889573724543412
150,0.00722375813787568,0.0003924292552963209,0.33173686367623634,0.0004909955069078156,0.013333333333333334,0.0,0.22969135802469134,0.011182183921263853
40,0.006510300544011415,0.0003452757341036638,0.3218985229445622,0.0003846242307913023,0.0,0.0,0.0,0.5
155,0.017033800053509317,0.0011930926163768786,0.3398676174637678,0.0016998719935495637,0.08,0.026115908115908113,0.31803418803418804,0.09903143530537599
209,0.006688664942477481,0.0002996197005309155,0.3235154671394603,0.00040576047921387487,0.005296610169491525,0.0005893553239631214,0.2003223736730641,0.0018572947467689566
260,0.00017836439846606616,0.0,0.2523060282852161,3.834131521189297e-06,0.0,0.0,0.0,2.3224281687183937e-25
29,0.007580486934807812,0.005018314745335556,0.3335376440555857,0.0006526444767859308,0.03164556962025317,0.009606546803192784,0.16537917319973996,0.17632446973538882
174,0.0037456523677873894,0.0003379724547859096,0.3166735476602513,0.00015631598899718327,0.04,0.002931931931931932,0.2953174603174603,0.10184606268560818
212,0.003121376973156158,0.000602471042288524,0.3152170192693265,0.00011067773854422333,0.08,0.007030641030641032,0.3398173515981735,0.13398013184248303
227,0.0002675465976990992,1.0169713982335735e-06,0.2360560738901271,3.5064464452343306e-06,0.0,0.0,0.0,2.3224281687183937e-25
161,0.0027646481762240256,0.00026360896682506703,0.306927788090539,0.00013613276888803063,0.013333333333333334,0.0,0.26390070921985814,0.05792912691337667
179,0.007937215731739944,0.0005973804106219204,0.31237116936123843,0.00011721763307153673,0.16,0.03575437775437775,0.38164102564102564,0.23026706687113643
190,0.0015160973869615623,7.384358970611283e-05,0.2829336979002764,2.677578029612653e-05,0.0,0.0,0.0,1.9785777608315056e-23
128,0.0041023811647195214,0.0015101722457506522,0.3191121882385979,0.0005684091047025683,0.08,0.03078335478335478,0.3398173515981735,0.13321194723159754
7,0.0028538303754570586,0.0011297078554654944,0.3121978578641479,0.0006370832109780085,0.011652542372881356,0.005845785761670958,0.2263096648927448,0.00848956046646914
65,0.006777847141710514,0.0013494709916781803,0.3488275520427337,0.002135093951414294,0.02901023890784983,0.0013922116758173805,0.29747846197396743,0.03774996835321216
60,0.00463747436011772,0.0006566648402122725,0.33240728920056417,0.0008614255244864149,0.07052896725440806,0.012801402933215345,0.31888707188732246,0.06607816025234671
26,0.011236957103362168,0.0033632955550838392,0.3619601057168211,0.003042674668589276,0.01694915254237288,0.008479930704142826,0.2342413190560317,0.021040317207332352
183,0.0037456523677873894,0.000636558447932657,0.30849537288082135,0.00026864582391375127,0.09333333333333334,0.015140712140712139,0.3518676122931442,0.14412260200170465
30,0.0041915633639525544,0.0005528574422117896,0.32161770177960847,0.00017183976728787876,0.01059322033898305,0.003351306276253858,0.23370943595190813,0.028841079654190534
99,0.0013377329884954963,2.3035256732302266e-05,0.31744456909521496,0.00013994840527321867,0.007415254237288136,0.0007458119253890475,0.241269656805486,0.029978914283255782
21,0.0035672879693213234,0.00045934637160224335,0.3302714047313257,0.0004491529129989749,0.014830508474576272,0.006562911486208851,0.2377035464046659,0.05519057927526866
181,0.0009810041915633639,4.612925592241576e-08,0.3112979164499693,0.00011774748619006707,0.005296610169491525,0.0,0.22821648690292756,0.02786514790450142
205,0.001248550789262463,2.06124705590415e-05,0.31238942387090185,0.00012277022970990132,0.0,0.0,0.0,8.637141343438417e-32
178,0.005172567555515918,0.0015617432381227992,0.32059540729752145,0.00018696557408089755,0.16,0.06296780546780549,0.37303258145363405,0.2891779335183051
215,0.0016052795861945955,0.00023443178401354208,0.3014582163416818,0.0005819183668818052,0.02666666666666667,0.0018828828828828827,0.2787265917602996,0.051854054211391505
211,0.0003567287969321323,6.934557378383763e-06,0.26335638098723385,5.11988082670942e-06,0.02666666666666667,0.0005405405405405405,0.28513409961685826,0.05645757957818545
225,0.0029430125746900916,0.00018758072303037815,0.29929777001085484,8.449791287572032e-05,0.0034129692832764505,0.0,0.2452757899372454,0.0010827013150709495
1782,0.0008918219923303309,6.853993761040889e-06,0.2641697917659001,4.234655834021463e-06,0.00211864406779661,0.0,0.18531803311706938,0.0011995422860456041
195,0.002229554980825827,0.0002735342174653474,0.3098633638396008,0.00011082584368891518,0.10344827586206896,0.021715927750410507,0.34770114942528735,0.0986819923556424
71,0.012396325693391599,0.0012284924990438565,0.3417470797390917,0.001479245321006552,0.005296610169491525,0.0020453959070225887,0.22740971187189646,0.02603809985678481
46,0.010612681708730937,8.20661704536734e-05,0.32273419393720365,0.0013101345589892114,0.0,0.0,0.0,7.571213536348233e-14
15,0.017390528850441452,0.003893316170335754,0.3546949652497427,0.0019078372827982866,0.015889830508474576,0.008566792230637632,0.2241411924939467,0.012031280341961879
70,0.006599482743244448,0.0013433595123689425,0.34333843869609637,0.0012895612755095692,0.052901023890784986,0.008509849144910183,0.34910695537440806,0.08260650209370209
84,0.0010701863907963969,4.036979266836073e-05,0.31252640072956667,0.00012906421764944528,0.00847457627118644,0.002545035583809802,0.2375938033084495,0.027231735970300344
13,0.0010701863907963969,0.00010650936872175608,0.28369197162229326,2.9796755791748532e-05,0.007415254237288136,0.0005324079850965698,0.2086894476748182,0.003904257781504925
80,0.0017836439846606617,4.671840315280897e-05,0.29358566681013143,4.5079609346878185e-05,0.00423728813559322,3.529349338091947e-05,0.18837048973869022,0.003590249221652134
24,0.0016944617854276285,4.525340805258311e-05,0.2932876757072873,3.4428410588500736e-05,0.012711864406779662,0.0005706415681423637,0.2034103470221746,0.0032364644906469017
92,0.0042807455631855874,0.002257659786035854,0.3371028107380654,0.00042511202078729734,0.0,0.0,0.0,1.9785777608315056e-23
214,0.0035672879693213234,0.0008149883858939165,0.3138659437676583,0.0003049025204241315,0.05333333333333334,0.024421564421564426,0.32008602150537635,0.07855458541397857
197,0.0009810041915633639,4.612925592241576e-08,0.3112979164499693,0.00011774748619006707,0.005296610169491525,0.0,0.22821648690292756,0.02786514790450142
88,0.008293944528672076,0.003166633574428939,0.34374688581305846,0.0009203812282788626,0.12000000000000001,0.05025532025532025,0.3543809523809524,0.18876314843844835
