Round ID,Company ID,Organization Name,Organization Name URL,Organization Founded Year,Investor ID,Investor Name,Investor URL,Investor Founded Date,Investor Longitude,Investor Latitude,Company Longitude,Company Latitude,Number of Investments,Number of Portfolio Organizations,Number of Lead Investments,Number of Exits,Lead,Specific VC Binary,Accelerator,Angel Group,Micro VC,Corporate Venture Capital,Target VC,Distance km,Local Investor,Announced Date,Investment Year,Investor Founded Year,Investor Age at Investment,num_investors,Syndication Role,Seed Investor Same City,Seed Lead Investor Same City,Country,Headquarters Country,Homecountry Investor,Homecountry Lead Investor,Seed Investor Within 50km,Seed Lead Investor Within 50km,Investor Distance to Hub,Hub_VC_Flag,Hub_Lead_VC_Flag
000017,000177,Thorium Space,https://www.crunchbase.com/organization/thorium-space,2017,000224,Smartlink Partners,https://www.crunchbase.com/organization/smartlink-partners,,21.0067249,52.2319581,17.0326689,51.1089776,8,8.0,6,0.0,True,False,False,False,False,False,False,301.1089548473384,False,2023-07-17,2023,,,1,Lead,False,False,Poland,,False,False,False,False,0.0,True,True
000018,000081,Upacjenta,https://www.crunchbase.com/organization/upacjenta,2017,000154,YZR Capital,https://www.crunchbase.com/organization/yzr-venture-capital,2021-10-01,11.5753822,48.1371079,19.9368564,50.0619474,24,19.0,17,0.0,False,True,False,False,False,False,False,644.8569150743276,False,2022-02-22,2022,2021.0,1.0,3,Co-Investor,False,False,Germany,,False,False,False,False,0.0,True,False
000018,000081,Upacjenta,https://www.crunchbase.com/organization/upacjenta,2017,000100,Inovo.vc,https://www.crunchbase.com/organization/inovo-vc,2012-01-01,21.0067249,52.2319581,19.9368564,50.0619474,62,48.0,32,4.0,True,False,False,False,False,False,True,252.56392777356123,False,2022-02-22,2022,2012.0,10.0,3,Lead,False,False,Poland,,False,False,False,False,0.0,True,True
000018,000081,Upacjenta,https://www.crunchbase.com/organization/upacjenta,2017,000093,10x Founders,https://www.crunchbase.com/organization/10x-founders,2021-01-01,11.5753822,48.1371079,19.9368564,50.0619474,70,51.0,13,1.0,False,False,False,False,False,False,True,644.8569150743276,False,2022-02-22,2022,2021.0,1.0,3,Co-Investor,False,False,Germany,,False,False,False,False,0.0,True,False
000021,000193,Simpl.rent,https://www.crunchbase.com/organization/simpl-rent,2019,000166,Kogito Ventures,https://www.crunchbase.com/organization/kogito-ventures,2016-06-01,21.0067249,52.2319581,19.9368564,50.0619474,19,18.0,8,2.0,False,False,False,True,False,False,False,252.56392777356123,False,2022-06-29,2022,2016.0,6.0,2,Co-Investor,False,False,Poland,,False,False,False,False,0.0,True,False
000021,000193,Simpl.rent,https://www.crunchbase.com/organization/simpl-rent,2019,000112,Black Pearls VC,https://www.crunchbase.com/organization/black-pearls,2014-01-01,18.6129831,54.3706858,19.9368564,50.0619474,53,44.0,36,2.0,True,False,False,False,False,False,False,487.50136804836706,False,2022-06-29,2022,2014.0,8.0,2,Lead,False,False,Poland,,False,False,False,False,286.0719384529201,False,False
000022,000215,KSM Vision,https://www.crunchbase.com/organization/ksm-vision,2012,000214,Aper Ventures,https://www.crunchbase.com/organization/aper-ventures,2019-01-22,21.0067249,52.2319581,21.0067249,52.2319581,9,9.0,7,0.0,True,False,False,True,False,False,False,0.0,True,2023-07-12,2023,2019.0,4.0,2,Lead,True,True,Poland,,False,False,True,True,0.0,True,True
000022,000215,KSM Vision,https://www.crunchbase.com/organization/ksm-vision,2012,000210,VIGO Ventures,https://www.crunchbase.com/organization/vigo-we-innovation,2017-01-01,21.0067249,52.2319581,21.0067249,52.2319581,10,8.0,4,0.0,False,True,False,False,False,False,False,0.0,True,2023-07-12,2023,2017.0,6.0,2,Co-Investor,True,False,Poland,,False,False,True,False,0.0,True,False
000023,000065,Linker Cloud Fulfillment Network,https://www.crunchbase.com/organization/linker-cloud-fulfillment-platform,2017,000166,Kogito Ventures,https://www.crunchbase.com/organization/kogito-ventures,2016-06-01,21.0067249,52.2319581,21.0067249,52.2319581,19,18.0,8,2.0,False,False,False,True,False,False,False,0.0,True,2022-02-14,2022,2016.0,6.0,4,Co-Investor,True,False,Poland,Poland,True,False,True,False,0.0,True,False
000023,000065,Linker Cloud Fulfillment Network,https://www.crunchbase.com/organization/linker-cloud-fulfillment-platform,2017,000020,ff Venture Capital,https://www.crunchbase.com/organization/ff-venture-capital,2008-12-01,-74.0060152,40.7127281,21.0067249,52.2319581,374,157.0,66,35.0,True,False,False,False,True,False,False,6853.761792057567,False,2022-02-14,2022,2008.0,14.0,4,Lead,False,False,United States,Poland,False,False,False,False,5114.884828999828,False,False
