company_id,organization_name,founded_year,headquarters_country,number_of_founders,age,hub_binary,b2b_binary,years_to_seed,total_seed_funding_m,number_seed_rounds,avg_seed_investor_distance,avg_seed_investor_pairwise_distance,average_seed_investors_portfolio_organizations,avg_age_of_seed_investors,specific_vc_in_seed_binary,target_vc_in_seed_binary,hub_vc_in_seed_binary,accelerator_funding_binary,angel_group_funding_binary,micro_vc_funding_binary,corporate_vc_funding_binary,homecountry_investor_in_seed_binary,seed_investor_same_city,energy,materials,industrials,consumer_discretionary,consumer_staples,health_care,financials,information_technology,communication_services,utilities,real_estate,other,degree_global,betweenness_global,closeness_global,eigenvector_global,degree_homecountry,betweenness_homecountry,closeness_homecountry,eigenvector_homecountry,success,exit_binary,funding_success
1592,Sensewaves,2014,France,2.0,1,True,True,1,0.15,3,701.4294326887224,1017.2224946455372,127.0,3.0,True,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,True,False,0.0114733861012272,0.0010260531113231,0.343894889789312,0.0005637907939226,0.0205673758865248,0.0012903454612916,0.341511383656322,0.0098419757996168,False,False,False
2651,Seekyo,2018,France,2.0,2,False,True,2,1.495928,1,294.02320408268554,0.0,7.0,0.0,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,7.261636772928619e-05,0.0,0.2536822691653733,8.619069233829017e-07,0.0,0.0,0.0,1.1876262166942208e-190,False,False,False
2437,Purchasely,2020,France,3.0,1,True,False,1,2.14431,1,342.60840402510934,0.0,44.0,3.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,0.0095127441725364,0.0023762132006704,0.3635842634837838,0.0002343153499804,0.0184397163120567,0.00345615432425,0.3448981221165964,0.0039256096964561,False,False,False
1758,What A Nice Place,2014,France,2.0,2,False,False,2,0.910589,1,379.4644997473558,758.9289994947115,34.5,2.0,False,False,True,False,False,False,False,True,True,False,False,True,True,False,False,False,True,False,False,True,False,0.0013070946191271,5.8239365115730375e-06,0.2773530684303396,2.3737470723811986e-06,0.0113475177304964,0.0001635168950103,0.2956156429168438,0.0012725067683519,False,False,False
1649,Kazaden,2014,France,2.0,2,True,False,2,0.532481,1,0.0,0.0,34.0,0.0,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,0.0014523273545857,0.0001462569743808,0.2923307834304383,7.452372206331052e-06,0.0120567375886524,0.0,0.2843789820148113,0.0005102128501938,False,False,False
1673,Clic and Walk,2012,France,2.0,1,False,False,1,0.979354,1,183.63419815411663,0.0,93.0,0.0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,0.0022511073996078,0.0,0.3101032218136919,1.6610340808538334e-05,0.0163120567375886,0.0,0.3215429519282912,0.0064668889052922,False,False,False
2999,Botnik,2017,France,2.0,1,True,False,1,2.794660476152623,1,416.3232901619961,0.0,30.0,21.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0011618618836685,1.5667315778343196e-05,0.2897932011495278,5.258439927320684e-06,0.0035460992907801,0.0,0.2668633126538824,0.0003285753569659,False,False,False
1507,Alkion BioInnovations,2011,France,4.0,10,True,True,10,0.645377,1,270.0195707178622,0.0,659.0,64.0,False,True,False,True,False,False,False,False,False,False,True,True,False,True,True,False,False,False,True,False,False,0.0038486674896521,0.0002121091027484,0.3280496810345262,0.0001398786174063,0.0070921985815602,0.0002102192867218,0.3160930713871336,0.0032340614406684,False,False,False
2253,Colonies,2017,France,3.0,0,True,False,0,2.794660476152623,1,877.1051733706614,0.0,698.0,4.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0.0079151840824921,0.0,0.3413637915809424,8.526493070794332e-05,0.0134751773049645,0.0,0.3195467826215598,0.0043164312581433,True,False,True
2405,Gama,2020,France,3.0,2,True,True,2,2.0,2,1936.9075249843277,3466.222862736853,190.25,3.2,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0114733861012272,0.0010745305368475,0.363076009928254,0.000506737483931,0.0333333333333333,0.003535974849336,0.3464768157288695,0.0113360968081278,False,False,False
