Company ID,Organization Name,Founded Year,Headquarters Country,Number of Founders,Hub Binary,B2B Binary,Number Seed Rounds,Avg Seed Investor Distance,Avg Seed Investor Pairwise Distance,Average Seed Investors Portfolio Organizations,Number Seed Investors,Avg Age of Seed Investors,Specific VC in Seed Binary,Target VC in Seed Binary,Hub VC in Seed Binary,Accelerator Funding Binary,Angel Group Funding Binary,Micro VC Funding Binary,Corporate Venture Capital Funding Binary,Homecountry Investor in Seed Binary,Years to Seed,Total Seed Funding (M),Energy,Materials,Industrials,Consumer Discretionary,Consumer Staples,Health Care,Financials,Information Technology,Communication Services,Utilities,Real Estate,Other,Success,Exit Binary,Funding Success,Degree_Global,Betweenness_Global,Closeness_Global,Eigenvector_Global,Degree_HomeCountry,Betweenness_HomeCountry,Closeness_HomeCountry,Eigenvector_HomeCountry
21621,Thirdpresence,2007,Finland,2.0,True,True,1,0.0,0.0,97.0,2,18.0,False,True,True,False,False,False,False,True,11,5.19,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,0.002686805605983589,2.736464573876053e-05,0.31831223891155913,0.00013172528859692732,0.05714285714285715,0.0016705312129508267,0.36124999999999996,0.013012160857042068
2069,Jooce,2007,France,1.0,True,True,1,287.1407924261901,0.0,108.0,1,7.0,False,False,False,False,False,False,False,False,0,2.794660476152623,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.0010166291482100066,0.0,0.291680765517009,7.479639366294736e-06,0.0007092198581560284,0.0,0.21147327750485148,6.1066364807316115e-06
2061,PrimaDiag SAS,2007,France,1.0,True,True,1,9621.853538928564,0.0,5.0,1,0.0,False,False,False,False,False,False,False,False,10,2.794660476152623,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,0.0005083145741050033,6.490393269314425e-06,0.28205774560431324,3.03230678694559e-06,0.0007092198581560284,0.0,0.2584484622649169,0.00021769561490003248
1565,Serious Factory,2007,France,1.0,True,True,1,9.190652391187006,0.0,94.0,1,14.0,False,False,True,False,False,False,False,True,8,1.278056,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,0.0028320383414421613,0.000307877873199276,0.31828883417352005,0.0001264842527326902,0.019148936170212766,0.00019900246173922592,0.33003716173814346,0.0071514940268795815
6140,flowww,2007,Spain,2.0,True,True,1,301.7089752238981,0.0,42.0,1,4.0,False,False,False,True,False,False,False,True,10,1.7499398169582774,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,0.0013797109868564376,0.0,0.291170662611013,8.270865083372384e-06,0.019417475728155338,0.0,0.3271555170827015,0.00235737995459458
2042,AmiKana.BioLogics,2007,France,1.0,False,True,1,49.222642551270646,0.0,9.0,1,5.0,False,False,False,False,False,False,False,True,5,0.268725,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,0.0012344782513978652,2.058553291154607e-05,0.308900899672077,7.983088438819317e-06,0.005673758865248227,0.00016594217325537338,0.2871072944259307,0.00023298000505996678
21631,ArcticStartup,2007,Finland,2.0,True,True,1,9272.05088307936,0.0,35.0,1,3.0,False,False,False,False,False,False,False,False,11,2.3713827288629736,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,0.00021784910318785856,0.0,0.28032254890482416,4.924619652786903e-06,0.0,0.0,0.0,3.330139936687749e-42
8995,Biametrics,2007,Germany,2.0,False,True,1,283.5391125009506,0.0,659.0,1,5.0,False,True,False,False,False,False,False,True,3,0.081744,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,0.02301938857018372,0.0,0.34606679963528725,0.0014589604635191157,0.13537320352341214,0.0,0.41171896300586985,0.05761987901482019
6247,SANIFIT,2007,Spain,1.0,False,True,1,205.5267754339983,0.0,142.0,1,6.0,False,False,False,False,False,False,False,True,3,0.34623,False,False,True,False,False,True,False,False,False,False,False,False,True,True,True,0.003558202018735023,0.0,0.3046543909520677,1.8764183156758743e-05,0.04638619201725998,0.0,0.3725892598731812,0.011386946688179644
16857,Graffiti Labs,2007,United Kingdom,1.0,False,False,1,7909.870598520397,1472.3800387950864,99.75,5,11.0,False,False,False,False,False,True,False,False,4,1.6,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,0.0012344782513978652,8.540670659628358e-06,0.2920743702204932,8.083163074774118e-06,0.0015691548980049316,0.0,0.2733827472135268,2.310751751868566e-05
16860,Tagorize,2007,United Kingdom,2.0,False,True,1,432.9675844601761,0.0,285.0,1,6.0,False,True,False,False,False,False,False,True,3,0.184595,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,0.009367511437077918,0.0,0.3007527263342703,0.0003234059231839178,0.02869311813494732,0.0,0.30363882322318503,0.001207097662330134
6312,Spacewell Energy (Dexma),2007,Spain,3.0,True,True,1,504.3657437075568,0.0,68.0,1,2.0,False,False,False,False,False,False,False,True,4,1.371296,True,False,False,False,False,False,False,True,False,True,False,False,True,True,False,0.0017427928255028685,0.0,0.3065384804228441,1.476186878789242e-05,0.024811218985976265,0.0,0.3602174317060737,0.008201766314691265
12116,Covagen,2007,Switzerland,1.0,True,True,1,3038.7031635950843,5944.798449593987,88.5,2,8.0,True,False,False,False,False,False,True,True,2,3.5780204777777778,False,False,True,False,False,True,False,False,False,False,False,False,True,True,True,0.00036308183864643096,4.158881576310876e-06,0.24851696882872376,7.169802503265752e-07,0.004106776180698152,0.0,0.00792021120563215,3.954790130321417e-20
8934,Eyetronic Therapie,2007,Germany,3.0,False,True,1,451.27020546198065,0.0,659.0,1,4.0,False,True,False,False,False,False,False,True,2,3.769454793565684,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,0.02301938857018372,0.0,0.34606679963528725,0.0014589604635191157,0.13537320352341214,0.0,0.41171896300586985,0.05761987901482019
12122,XIHA,2007,Switzerland,1.0,True,False,1,2073.6766664548973,0.0,70.0,1,10.0,False,False,False,False,False,False,False,False,3,1.0,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,0.0012344782513978652,0.0,0.27897965033541977,5.480664796073847e-06,0.0,0.0,0.0,5.234858954320035e-30
12140,Navus,2007,Switzerland,3.0,False,True,1,74.50650865265331,0.0,32.0,1,3.0,False,False,False,False,False,False,False,True,12,3.5780204777777778,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.000798780045022148,0.0,0.2880959851612528,0.00011102432468924846,0.014373716632443533,0.0,0.31477367543857804,0.004271873250769902
8944,Zedira GmbH,2007,Germany,2.0,False,True,1,146.22416869685122,0.0,659.0,1,5.0,False,True,False,False,False,False,False,True,3,3.769454793565684,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,0.02301938857018372,0.0,0.34606679963528725,0.0014589604635191157,0.13537320352341214,0.0,0.41171896300586985,0.05761987901482019
6263,iContainers,2007,Spain,2.0,True,True,1,504.3657437075568,0.0,44.0,2,3.5,False,False,False,False,False,False,False,True,8,1.632708,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.001888025560961441,3.8315848728249995e-05,0.29694294423363493,8.110728011734822e-06,0.024811218985976265,0.0013991099055403792,0.3175782024120582,0.0008224193744141452
8964,NFON,2007,Germany,1.0,True,True,1,433.53418694635695,0.0,659.0,1,3.0,False,True,False,False,False,False,False,True,1,3.769454793565684,False,False,True,False,False,False,False,True,False,False,False,False,True,True,True,0.02301938857018372,0.0,0.34606679963528725,0.0014589604635191157,0.13537320352341214,0.0,0.41171896300586985,0.05761987901482019
9087,WinLocal,2007,Germany,1.0,False,True,1,422.6063394512177,0.0,29.0,1,9.0,False,False,False,False,False,False,False,True,1,3.769454793565684,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,0.0005809309418342895,0.0,0.27889577190777837,2.531021792148947e-06,0.0018544274455261937,0.0,0.2828060151423532,3.6503988335508705e-06
9467,stickapps,2007,Germany,1.0,True,True,1,932.65776777123,0.0,422.0,1,1.0,False,False,False,True,False,True,False,False,1,3.769454793565684,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,0.016919613680923682,0.0,0.362397173799743,0.0011254475697842008,0.00927213722763097,0.0,0.3355486513121319,0.000429891461758276
16452,Traffic Observation via Management,2007,United Kingdom,1.0,False,True,1,26.414571440860687,0.0,83.0,1,6.0,False,False,False,False,False,False,False,True,9,0.499261,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,0.002033258296420013,0.0,0.2766676478645431,3.142641615168831e-06,0.005828289621161175,0.0,0.2697187688774333,2.4207859017180312e-05
