"Country","Founded_Companies","Avg_Seed_Investor_Distance_km","Average_Number_of_Founders","Avg_Number_of_Seed_Investors","Avg_Number_of_Lead_Seed_Investors","Proportion_Regional_Investors","Proportion_Worldwide_Investors","Proportion_Industry_Specific_VC","Proportion_Regional_Lead_Investors","Proportion_Worldwide_Lead_Investors","Proportion_Industry_Lead_Investors","Proportion_Funding_Success","Proportion_Exit_Success","Average_Distance_to_Hub_km","Average_Number_of_Seed_Rounds","Average_Exits_of_Investors","Avg_Seed_Investors_Portfolio_Orgs","Number_of_Startup_Hubs"
"Ireland",390,2560.48727762094,1.99065420560748,1.74102564102564,0.787179487179488,0.356410256410256,0.797435897435897,0.307692307692308,0.187179487179487,0.487179487179487,0.192307692307692,0.0333333333333333,0.125641025641026,58.9469579462636,1.32820512820513,47.3174358974358,99.5446031746031,1
"Italy",752,1079.91645724049,2.29586776859504,1.51861702127659,0.498670212765957,0.441489361702128,0.706117021276596,0.0970744680851064,0.159574468085106,0.300531914893617,0.0425531914893617,0.0319148936170213,0.0824468085106383,234.701354811287,1.29122340425532,22.1037234042553,79.6398297661263,1
"Latvia",105,981.389233190326,1.87654320987654,1.44761904761905,0.771428571428571,0.523809523809524,0.6,0.219047619047619,0.352380952380952,0.323809523809524,0.180952380952381,0,0.0666666666666667,284.829087812267,1.47619047619048,11.9133333333333,122.366307634165,0
"Lithuania",147,1035.91877000119,2.2741935483871,1.68027210884354,0.904761904761904,0.646258503401361,0.571428571428571,0.204081632653061,0.482993197278912,0.333333333333333,0.0884353741496599,0.0340136054421769,0.054421768707483,388.47969542965,1.63265306122449,6.66734693877551,124.248207536983,0
"Norway",236,2993.82325853423,2.30113636363636,1.92372881355932,0.711864406779661,0.436440677966102,0.783898305084746,0.233050847457627,0.224576271186441,0.411016949152542,0.10593220338983,0.038135593220339,0.0932203389830508,109.943870700536,1.42796610169492,46.0521186440678,40.8364591740651,1
"Poland",581,782.077921358362,2.00461893764434,1.53184165232358,0.850258175559379,0.414802065404475,0.707401032702238,0.256454388984509,0.249569707401033,0.478485370051635,0.153184165232358,0.0120481927710843,0.0481927710843374,133.734511018276,1.28055077452668,6.5736660929432,33.4706526787422,1
"Portugal",318,1136.57646028962,2.2570281124498,1.98427672955975,0.672955974842769,0.522012578616352,0.666666666666667,0.60377358490566,0.191823899371069,0.333333333333333,0.163522012578616,0.0157232704402516,0.106918238993711,112.09639146732,1.42138364779874,29.0663522012579,137.851459250044,1
"Slovakia (Slovak Republic)",75,1499.27108079689,2,1.38666666666667,0.626666666666667,0.466666666666667,0.666666666666667,0.0533333333333333,0.266666666666667,0.36,0.0266666666666667,0.0133333333333333,0.0533333333333333,120.495688532061,1.24,8.39066666666667,102.596952380952,0
"Spain",1178,1456.50049104063,2.1734693877551,1.90407470288625,0.673174872665534,0.5169779286927,0.713073005093379,0.188455008488964,0.229202037351443,0.343803056027165,0.0823429541595925,0.0356536502546689,0.0959252971137521,303.008438448539,1.40747028862479,21.2323429541595,97.4775423406999,1
"Switzerland",631,1589.65650088735,2.36516853932584,1.95721077654517,0.716323296354991,0.587955625990491,0.610142630744849,0.301109350237718,0.29635499207607,0.323296354992076,0.133122028526149,0.063391442155309,0.101426307448494,68.7329113701166,1.33597464342314,19.3963549920761,90.2648620472057,1
"The Netherlands",945,1482.027849819,2.17573221757322,1.66455026455027,0.700529100529102,0.678306878306878,0.483597883597884,0.388359788359788,0.351322751322751,0.252910052910053,0.188359788359788,0.0497354497354497,0.0825396825396825,159.102620643055,1.27089947089947,18.1477248677249,68.7783118008264,0
"United Kingdom",5642,2110.26858842962,1.97042434633519,2.01542006380717,0.735023041474654,0.586848635235732,0.640907479617157,0.2837646224743,0.30272952853598,0.324707550514002,0.125487415809996,0.0508684863523573,0.0948245303084013,36.5443094745233,1.44700460829494,35.6599610067353,113.73425470371,4
